"","yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","slugTeam","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","cityTeam","teamName","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom","nom_eq"
"1",2018,1,1,1,"Deandre Ayton","PHX","Arizona","College/University",1629028,1610612756,"Phoenix Suns","Phoenix","Suns",1,"COL",NA,"Phoenix Suns"
"2",2017,1,1,1,"Markelle Fultz","PHI","Washington","College/University",1628365,1610612755,"Philadelphia 76ers","Philadelphia","76ers",1,"COL",NA,"Philadelphia 76ers"
"3",2016,1,1,1,"Ben Simmons","PHI","Louisiana State","College/University",1627732,1610612755,"Philadelphia 76ers","Philadelphia","76ers",1,"COL",NA,"Philadelphia 76ers"
"4",2015,1,1,1,"Karl-Anthony Towns","MIN","Kentucky","College/University",1626157,1610612750,"Minnesota Timberwolves","Minnesota","Timberwolves",1,"COL",NA,"Minnesota Timberwolves"
"5",2014,1,1,1,"Andrew Wiggins","CLE","Kansas","College/University",203952,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",1,"COL",NA,"Cleveland Cavaliers"
"6",2013,1,1,1,"Anthony Bennett","CLE","Nevada-Las Vegas","College/University",203461,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",1,"COL",NA,"Cleveland Cavaliers"
"7",2012,1,1,1,"Anthony Davis","NOH","Kentucky","College/University",203076,1610612740,"New Orleans Hornets","New Orleans","Hornets",1,"COL",NA,"New Orleans (Hornets) Pelicans"
"8",2011,1,1,1,"Kyrie Irving","CLE","Duke","College/University",202681,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",1,"COL",NA,"Cleveland Cavaliers"
"9",2010,1,1,1,"John Wall","WAS","Kentucky","College/University",202322,1610612764,"Washington Wizards","Washington","Wizards",1,"COL",NA,"Washington Wizards"
"10",2009,1,1,1,"Blake Griffin","LAC","Oklahoma","College/University",201933,1610612746,"Los Angeles Clippers","Los Angeles","Clippers",1,"COL",NA,"Los Angeles Clippers"
