YYYYMMDD,VWID,VWI,EWID,EWI,SP500,YYYY,day
19260102,0.005689,0.005689,0.009516,0.009516,,1926,6
19260104,0.000706,0.000706,0.00578,0.00578,,1926,1
19260105,-0.004821,-0.004867,-0.001927,-0.00203,,1926,2
19260106,-0.000423,-0.000427,0.001182,0.001155,,1926,3
19260107,0.004988,0.004953,0.008453,0.008384,,1926,4
19260108,-0.003238,-0.003549,-0.001689,-0.001938,,1926,5
19260109,0.002209,0.002209,0.003312,0.003312,,1926,6
19260111,-0.00854,-0.008612,-0.009943,-0.010013,,1926,1
19260112,-0.000929,-0.000929,-0.003623,-0.003623,,1926,2
19260113,0.0037,0.0037,0.007576,0.007576,,1926,3
19260114,-0.005034,-0.005075,-0.002847,-0.002879,,1926,4
19260115,-0.012688,-0.01339,-0.013091,-0.013615,,1926,5
19260116,-0.001224,-0.001224,-0.001544,-0.001544,,1926,6
19260118,0.005244,0.00523,0.006018,0.005984,,1926,1
19260119,-0.010983,-0.010986,-0.01135,-0.011375,,1926,2
19260120,0.004059,0.004012,-0.001376,-0.001583,,1926,3
19260121,-0.007062,-0.007246,-0.003772,-0.003936,,1926,4
19260122,0.005029,0.004927,0.002281,0.002243,,1926,5
19260123,0.005657,0.005657,0.006987,0.006987,,1926,6
19260125,0.004723,0.004707,0.006726,0.006693,,1926,1
19260126,-0.005384,-0.005391,-0.005749,-0.005854,,1926,2
19260127,0.00717,0.00717,0.00528,0.00528,,1926,3
19260128,0.003801,0.003801,0.007786,0.007786,,1926,4
19260129,0.008204,0.007827,0.008687,0.008533,,1926,5
19260130,0.000687,0.000687,0.004532,0.004532,,1926,6
19260201,-0.002864,-0.003166,-0.002473,-0.002691,,1926,1
19260202,0.005334,0.005334,0.004416,0.004416,,1926,2
19260203,0.005243,0.005243,0.005728,0.005728,,1926,3
19260204,0.00512,0.005106,0.004818,0.004649,,1926,4
19260205,-0.000215,-0.000261,0.002155,0.00208,,1926,5
19260206,0.000577,0.000577,0.001864,0.001864,,1926,6
19260208,-0.006726,-0.006906,-0.007355,-0.007393,,1926,1
19260209,0.00567,0.00567,0.008391,0.008391,,1926,2
19260210,0.00074,0.00011,-0.001415,-0.001674,,1926,3
19260211,0.000895,0.000821,0.000118,0.000003,,1926,4
19260213,-0.001137,-0.001137,-0.002787,-0.002787,,1926,6
19260215,-0.019659,-0.019875,-0.023189,-0.023636,,1926,1
